identite,lot,identite_documentee,portee_preuve,date_revue,preuve_identite,groupe_parent,domaine,presence_company,fiches_company,offres_actives,collecte_nouvelle_validee,nouvelle_source_activee,commentaire
Pull&Bear,EXTENSION_OU_COUVERTURE,OUI,COMMERCIAL_IDENTITY_ONLY,2026-09-08,https://www.inditexpeople.com/fr/fr,Inditex,NON_VERIFIE,NON_RETROUVEE_NOM_CLE_ALIAS,,0,NON,NON,Acteur nommé explicitement sur le portail officiel Inditex People. Domaine propre et connecteur sont des validations distinctes.
Massimo Dutti,EXTENSION_OU_COUVERTURE,OUI,COMMERCIAL_IDENTITY_ONLY,2026-09-08,https://www.inditexpeople.com/fr/fr,Inditex,NON_VERIFIE,NON_RETROUVEE_NOM_CLE_ALIAS,,0,NON,NON,Acteur nommé explicitement sur le portail officiel Inditex People. Domaine propre et connecteur sont des validations distinctes.
Bershka,EXTENSION_OU_COUVERTURE,OUI,COMMERCIAL_IDENTITY_ONLY,2026-09-08,https://www.inditexpeople.com/fr/fr,Inditex,NON_VERIFIE,NON_RETROUVEE_NOM_CLE_ALIAS,,0,NON,NON,Acteur nommé explicitement sur le portail officiel Inditex People. Domaine propre et connecteur sont des validations distinctes.
Stradivarius,EXTENSION_OU_COUVERTURE,OUI,COMMERCIAL_IDENTITY_ONLY,2026-09-08,https://www.inditexpeople.com/fr/fr,Inditex,NON_VERIFIE,NON_RETROUVEE_NOM_CLE_ALIAS,,0,NON,NON,Acteur nommé explicitement sur le portail officiel Inditex People. Domaine propre et connecteur sont des validations distinctes.
Oysho,EXTENSION_OU_COUVERTURE,OUI,COMMERCIAL_IDENTITY_ONLY,2026-09-08,https://www.inditexpeople.com/fr/fr,Inditex,NON_VERIFIE,NON_RETROUVEE_NOM_CLE_ALIAS,,0,NON,NON,Acteur nommé explicitement sur le portail officiel Inditex People. Domaine propre et connecteur sont des validations distinctes.
Zara Home,EXTENSION_OU_COUVERTURE,OUI,COMMERCIAL_IDENTITY_ONLY,2026-09-08,https://www.inditexpeople.com/fr/fr,Inditex,NON_VERIFIE,NON_RETROUVEE_NOM_CLE_ALIAS,,0,NON,NON,Acteur nommé explicitement sur le portail officiel Inditex People. Domaine propre et connecteur sont des validations distinctes.
Lefties,EXTENSION_OU_COUVERTURE,OUI,COMMERCIAL_IDENTITY_ONLY,2026-09-08,https://www.inditexpeople.com/fr/fr,Inditex,NON_VERIFIE,PRESENTE,LEFTIES,2,NON,NON,Acteur nommé explicitement sur le portail officiel Inditex People. Domaine propre et connecteur sont des validations distinctes.
Tempe,EXTENSION_OU_COUVERTURE,OUI,COMMERCIAL_IDENTITY_ONLY,2026-09-08,https://www.inditexpeople.com/fr/fr,Inditex,NON_VERIFIE,NON_RETROUVEE_NOM_CLE_ALIAS,,0,NON,NON,Acteur nommé explicitement sur le portail officiel Inditex People. Domaine propre et connecteur sont des validations distinctes.
SMCP,CORRECTION_SMCP,OUI,COMMERCIAL_IDENTITY_ONLY,2026-09-08,https://www.smcp.com/fr/marques/,NON_ETABLI,smcp.com,NON_RETROUVEE_NOM_CLE_ALIAS,,0,NON,NON,SMCP nomme explicitement ses quatre marques. L’absence de domaine propre renseigné ne remet pas en cause cette identité.
Maje,CORRECTION_SMCP,OUI,COMMERCIAL_IDENTITY_ONLY,2026-09-08,https://www.smcp.com/fr/marques/,SMCP,NON_VERIFIE,PRESENTE,Maje,0,NON,NON,SMCP nomme explicitement ses quatre marques. L’absence de domaine propre renseigné ne remet pas en cause cette identité.
Claudie Pierlot,CORRECTION_SMCP,OUI,COMMERCIAL_IDENTITY_ONLY,2026-09-08,https://www.smcp.com/fr/marques/,SMCP,NON_VERIFIE,NON_RETROUVEE_NOM_CLE_ALIAS,,0,NON,NON,SMCP nomme explicitement ses quatre marques. L’absence de domaine propre renseigné ne remet pas en cause cette identité.
Fursac,CORRECTION_SMCP,OUI,COMMERCIAL_IDENTITY_ONLY,2026-09-08,https://www.smcp.com/fr/marques/,SMCP,NON_VERIFIE,NON_RETROUVEE_NOM_CLE_ALIAS,,0,NON,NON,SMCP nomme explicitement ses quatre marques. L’absence de domaine propre renseigné ne remet pas en cause cette identité.
Patou,EXTENSION_OU_COUVERTURE,OUI,COMMERCIAL_IDENTITY_ONLY,2026-09-08,https://www.patou.com/fr/pages/hr-enquiries,LVMH,patou.com,NON_RETROUVEE_NOM_CLE_ALIAS,,0,NON,NON,Identité documentée ; validation du connecteur indépendante.
Fusalp,EXTENSION_OU_COUVERTURE,OUI,COMMERCIAL_IDENTITY_ONLY,2026-09-08,https://fusalp.com/,NON_ETABLI,fusalp.com,PRESENTE,CREATIONS FUSALP | Fusalp,21,NON,NON,Collections ski et prêt-à-porter sur le site officiel. Cette pièce ne valide pas le connecteur carrière.
Akris,EXTENSION_OU_COUVERTURE,OUI,COMMERCIAL_IDENTITY_ONLY,2026-09-08,https://us.akris.com/pages/careers,NON_ETABLI,akris.com,NON_RETROUVEE_NOM_CLE_ALIAS,,0,NON,NON,Identité documentée ; validation du connecteur indépendante.
Paul Smith,EXTENSION_OU_COUVERTURE,OUI,COMMERCIAL_IDENTITY_ONLY,2026-09-08,https://reloved.paulsmith.com/pages/confidentiality,NON_ETABLI,paulsmith.com,NON_RETROUVEE_NOM_CLE_ALIAS,,0,NON,NON,Page du domaine officiel identifiant Paul Smith Limited. Aucun ATS certifié par cette pièce.
Dries Van Noten,EXTENSION_OU_COUVERTURE,OUI,COMMERCIAL_IDENTITY_ONLY,2026-09-08,https://www.driesvannoten.com/en-eu/pages/career-open-positions,NON_ETABLI,driesvannoten.com,NON_RETROUVEE_NOM_CLE_ALIAS,,0,NON,NON,Identité documentée ; validation du connecteur indépendante.
Thom Browne,EXTENSION_OU_COUVERTURE,OUI,COMMERCIAL_IDENTITY_ONLY,2026-09-08,https://www.thombrowne.com/en-mo/pages/contact,NON_ETABLI,thombrowne.com,NON_RETROUVEE_NOM_CLE_ALIAS,,0,NON,NON,Identité documentée ; validation du connecteur indépendante.
Grand Seiko,EXTENSION_OU_COUVERTURE,OUI,COMMERCIAL_IDENTITY_ONLY,2026-09-08,https://www.grand-seiko.com/fr-fr/support,NON_ETABLI,grand-seiko.com,NON_RETROUVEE_NOM_CLE_ALIAS,,0,NON,NON,Identité documentée ; validation du connecteur indépendante.
Harrods,EXTENSION_OU_COUVERTURE,OUI,COMMERCIAL_IDENTITY_ONLY,2026-09-08,https://www.harrods.com/en-gb/c/faqs/other,NON_ETABLI,harrods.com,NON_RETROUVEE_NOM_CLE_ALIAS,,0,NON,NON,Identité documentée ; validation du connecteur indépendante.
El Corte Inglés,EXTENSION_OU_COUVERTURE,OUI,COMMERCIAL_IDENTITY_ONLY,2026-09-08,https://www.elcorteingles.es/informacioncorporativa/es/contacto/,NON_ETABLI,elcorteingles.es,NON_RETROUVEE_NOM_CLE_ALIAS,,0,NON,NON,Identité documentée ; validation du connecteur indépendante.
Takashimaya,EXTENSION_OU_COUVERTURE,OUI,COMMERCIAL_IDENTITY_ONLY,2026-09-08,https://www.takashimaya.co.jp/corp/recruit/career/job/,NON_ETABLI,takashimaya.co.jp,NON_RETROUVEE_NOM_CLE_ALIAS,,0,NON,NON,Identité documentée ; validation du connecteur indépendante.
Isetan Mitsukoshi,EXTENSION_OU_COUVERTURE,OUI,COMMERCIAL_IDENTITY_ONLY,2026-09-08,https://www.imhds.co.jp/recruit/index.html,NON_ETABLI,imhds.co.jp,NON_RETROUVEE_NOM_CLE_ALIAS,,0,NON,NON,Identité documentée ; validation du connecteur indépendante.
